timestamp,player_choice,computer_choice,result,session_id
2025-05-21 06:58:59,paper,rock,Win,20250521065858
2025-05-21 06:59:01,rock,rock,Tie,20250521065858
2025-05-21 06:59:01,scissors,paper,Win,20250521065858
2025-05-21 06:59:02,scissors,scissors,Tie,20250521065858
2025-05-21 06:59:02,scissors,paper,Win,20250521065858
2025-05-21 06:59:03,paper,scissors,Loss,20250521065858
2025-05-21 06:59:03,rock,scissors,Win,20250521065858
2025-05-21 06:59:04,paper,scissors,Loss,20250521065858
2025-05-21 06:59:05,rock,rock,Tie,20250521065858
2025-05-21 06:59:06,scissors,paper,Win,20250521065858
2025-05-21 06:59:08,rock,rock,Tie,20250521065858
2025-05-21 06:59:09,scissors,paper,Win,20250521065858
2025-05-21 06:59:10,paper,scissors,Loss,20250521065858
2025-05-21 06:59:11,rock,scissors,Win,20250521065858
2025-05-21 06:59:12,scissors,rock,Loss,20250521065858
2025-05-21 06:59:13,rock,rock,Tie,20250521065858
2025-05-21 06:59:16,rock,paper,Loss,20250521065858
2025-05-21 06:59:17,paper,paper,Tie,20250521065858
2025-05-21 06:59:18,rock,rock,Tie,20250521065858
2025-05-21 06:59:20,scissors,scissors,Tie,20250521065858
2025-05-21 07:00:47,paper,paper,Tie,20250521070046
2025-05-21 07:00:49,scissors,paper,Win,20250521070046
2025-05-21 07:00:50,rock,rock,Tie,20250521070046
2025-05-21 07:00:51,paper,paper,Tie,20250521070046
2025-05-21 07:00:52,scissors,rock,Loss,20250521070046
2025-05-21 07:00:53,scissors,rock,Loss,20250521070046
2025-05-21 07:00:53,scissors,rock,Loss,20250521070046
2025-05-21 07:00:54,paper,rock,Win,20250521070046
2025-05-21 07:00:54,paper,rock,Win,20250521070046
2025-05-21 07:00:55,rock,paper,Loss,20250521070046
2025-05-21 07:00:56,paper,scissors,Loss,20250521070046
2025-05-21 07:00:57,scissors,paper,Win,20250521070046
2025-05-21 07:00:58,rock,rock,Tie,20250521070046
2025-05-21 07:01:00,scissors,paper,Win,20250521070046
2025-05-21 07:01:00,paper,scissors,Loss,20250521070046
2025-05-21 07:01:01,rock,rock,Tie,20250521070046
2025-05-21 07:01:03,rock,paper,Loss,20250521070046
2025-05-21 07:01:04,paper,rock,Win,20250521070046
2025-05-21 07:01:04,scissors,rock,Loss,20250521070046
2025-05-21 07:01:05,paper,scissors,Loss,20250521070046
2025-05-21 14:09:09,paper,scissors,Loss,20250521140840
2025-05-21 14:09:11,rock,scissors,Win,20250521140840
2025-05-21 14:12:09,paper,rock,Win,20250521140840
2025-05-21 14:12:11,paper,paper,Tie,20250521140840
2025-05-21 14:12:18,rock,rock,Tie,20250521140840
2025-05-21 14:12:20,paper,scissors,Loss,20250521140840
2025-05-21 14:12:21,scissors,scissors,Tie,20250521140840
2025-05-21 14:12:23,scissors,rock,Loss,20250521140840
2025-05-21 14:12:25,paper,scissors,Loss,20250521140840
2025-05-21 14:12:27,rock,paper,Loss,20250521140840
2025-05-21 14:12:30,rock,rock,Tie,20250521140840
